pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
15-03-2019 08:18,15-03-2019 08:24,1,0.84,5.5,2.2,0,11,yellow,credit card,Lenox Hill West,Upper East Side South,Manhattan,Manhattan
13-03-2019 20:17,13-03-2019 20:21,1,0.9,5.5,1.85,0,11.15,yellow,credit card,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
12-03-2019 09:19,12-03-2019 09:42,1,2.03,15,0,0,18.3,yellow,cash,Kips Bay,East Chelsea,Manhattan,Manhattan
07-03-2019 19:54,07-03-2019 19:57,1,1,5,0,0,9.3,yellow,cash,UN/Turtle Bay South,Lenox Hill West,Manhattan,Manhattan
18-03-2019 12:23,18-03-2019 12:42,1,1.3,12.5,4,0,19.8,yellow,credit card,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan
07-03-2019 12:49,07-03-2019 13:09,2,1.1,12.5,3.15,0,18.95,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
05-03-2019 08:26,05-03-2019 08:34,1,0.9,6.5,0.5,0,7.8,yellow,credit card,Astoria,Queensbridge/Ravenswood,Queens,Queens
20-03-2019 09:58,20-03-2019 10:38,2,11.3,40,9.8,5.76,58.86,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens
08-03-2019 13:57,08-03-2019 14:04,1,1.38,7,2.06,0,12.36,yellow,credit card,Midtown East,Upper East Side South,Manhattan,Manhattan
08-03-2019 12:06,08-03-2019 12:09,1,0.49,4,1,0,8.3,yellow,credit card,Yorkville East,Lenox Hill West,Manhattan,Manhattan
11-03-2019 21:41,11-03-2019 21:48,2,1.37,7,1.62,0,12.42,yellow,credit card,Upper West Side South,Lincoln Square West,Manhattan,Manhattan
20-03-2019 12:55,20-03-2019 13:07,1,2.74,10.5,1.2,0,15,yellow,credit card,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
12-03-2019 19:53,12-03-2019 20:02,1,1.9,8.5,2.55,0,15.35,yellow,credit card,Upper East Side North,East Harlem North,Manhattan,Manhattan
01-03-2019 11:37,01-03-2019 11:54,1,1.7,11.5,3.7,0,18.5,yellow,credit card,Midtown North,Garment District,Manhattan,Manhattan
19-03-2019 17:25,19-03-2019 17:50,5,3.26,17.5,2.18,0,23.98,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
02-03-2019 12:57,02-03-2019 13:08,6,2.1,9.5,1,0,13.8,yellow,credit card,Lincoln Square East,Flatiron,Manhattan,Manhattan
28-03-2019 08:26,28-03-2019 08:33,1,0.8,6,1.85,0,11.15,yellow,credit card,TriBeCa/Civic Center,SoHo,Manhattan,Manhattan
09-03-2019 13:07,09-03-2019 14:12,1,18.29,59.5,0,0,60.3,yellow,cash,JFK Airport,Downtown Brooklyn/MetroTech,Queens,Brooklyn
16-03-2019 00:35,16-03-2019 01:13,1,3.73,24,0,0,27.8,yellow,cash,Clinton East,Lower East Side,Manhattan,Manhattan
21-03-2019 09:51,21-03-2019 09:56,1,0.3,5,0,0,8.3,yellow,cash,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan
10-03-2019 08:40,10-03-2019 08:47,6,1.38,7,2.06,0,12.36,yellow,credit card,Lenox Hill East,Upper East Side North,Manhattan,Manhattan
25-03-2019 12:56,25-03-2019 13:17,1,5.3,19.5,4.55,0,27.35,yellow,credit card,Financial District North,East Chelsea,Manhattan,Manhattan
18-03-2019 02:20,18-03-2019 02:49,1,6,23,0,0,26.8,yellow,,TriBeCa/Civic Center,Bushwick South,Manhattan,Brooklyn
25-03-2019 09:48,25-03-2019 09:58,1,0.35,7,2.58,0,12.88,yellow,credit card,Midtown North,Central Park,Manhattan,Manhattan
22-03-2019 22:23,22-03-2019 22:35,1,1.96,10,0,0,13.8,yellow,cash,East Village,Midtown East,Manhattan,Manhattan
11-03-2019 10:21,11-03-2019 10:34,1,1.1,9.5,3.8,0,16.6,yellow,credit card,Midtown North,Penn Station/Madison Sq West,Manhattan,Manhattan
07-03-2019 09:24,07-03-2019 09:33,1,1.2,8,2.25,0,13.55,yellow,credit card,West Village,West Chelsea/Hudson Yards,Manhattan,Manhattan
05-03-2019 16:31,05-03-2019 16:35,5,0.64,5,0,0,9.3,yellow,cash,Greenwich Village North,Hudson Sq,Manhattan,Manhattan
20-03-2019 00:05,20-03-2019 00:17,1,2.85,12,3.16,0,18.96,yellow,credit card,Lower East Side,Williamsburg (North Side),Manhattan,Brooklyn
12-03-2019 21:44,12-03-2019 21:53,1,1.2,7.5,0,0,11.3,yellow,cash,East Chelsea,Murray Hill,Manhattan,Manhattan
31-03-2019 12:10,31-03-2019 12:19,1,1.25,8,0,0,11.3,yellow,cash,Midtown Center,Clinton East,Manhattan,Manhattan
24-03-2019 20:48,24-03-2019 21:02,1,2.92,12,3.16,0,18.96,yellow,credit card,Greenwich Village North,Clinton West,Manhattan,Manhattan
12-03-2019 16:41,12-03-2019 16:44,1,0.6,4.5,1.76,0,10.56,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
08-03-2019 22:44,08-03-2019 23:04,4,5.7,19.5,4.66,0,27.96,yellow,credit card,Times Sq/Theatre District,Hamilton Heights,Manhattan,Manhattan
11-03-2019 09:36,11-03-2019 09:46,1,0.53,7.5,0,0,10.8,yellow,cash,East Chelsea,West Chelsea/Hudson Yards,Manhattan,Manhattan
07-03-2019 18:06,07-03-2019 18:22,1,2.01,12,4.08,0,20.38,yellow,credit card,Upper West Side South,Times Sq/Theatre District,Manhattan,Manhattan
21-03-2019 23:31,21-03-2019 23:42,1,3.35,12,3.16,0,18.96,yellow,credit card,Kips Bay,Lincoln Square East,Manhattan,Manhattan
28-03-2019 20:06,28-03-2019 20:21,1,2.11,11,2.96,0,17.76,yellow,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan
14-03-2019 09:50,14-03-2019 10:00,1,0.64,7.5,0,0,10.8,yellow,cash,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
22-03-2019 23:43,22-03-2019 23:57,5,2.28,10,3.45,0,17.25,yellow,credit card,Clinton East,Union Sq,Manhattan,Manhattan
16-03-2019 22:33,16-03-2019 22:44,1,2.18,9.5,2.66,0,15.96,yellow,credit card,East Chelsea,Clinton West,Manhattan,Manhattan
17-03-2019 11:21,17-03-2019 11:29,2,1.72,8,2.82,0,14.12,yellow,credit card,Yorkville West,Midtown East,Manhattan,Manhattan
22-03-2019 00:14,22-03-2019 00:27,1,3.1,12,0,0,15.8,yellow,cash,Upper West Side North,Penn Station/Madison Sq West,Manhattan,Manhattan
18-03-2019 17:24,18-03-2019 17:27,1,0.45,4,0,0,8.3,yellow,cash,Clinton East,East Chelsea,Manhattan,Manhattan
22-03-2019 23:38,22-03-2019 23:47,2,0.86,7.5,1,0,12.3,yellow,credit card,East Village,Two Bridges/Seward Park,Manhattan,Manhattan
16-03-2019 19:58,16-03-2019 20:15,1,2.89,13,3.26,0,19.56,yellow,credit card,Penn Station/Madison Sq West,Lincoln Square West,Manhattan,Manhattan
13-03-2019 17:37,13-03-2019 18:04,1,4.9,20,4.85,0,29.15,yellow,credit card,Battery Park City,Lincoln Square West,Manhattan,Manhattan
09-03-2019 10:23,09-03-2019 10:36,1,2.76,12,3.06,0,18.36,yellow,credit card,Greenwich Village North,Midtown Center,Manhattan,Manhattan
02-03-2019 17:43,02-03-2019 17:57,1,1.88,10.5,2.76,0,16.56,yellow,credit card,Garment District,Lincoln Square East,Manhattan,Manhattan
18-03-2019 18:16,18-03-2019 18:25,1,1.6,8,2.45,0,14.75,yellow,credit card,Union Sq,West Chelsea/Hudson Yards,Manhattan,Manhattan
23-03-2019 07:11,23-03-2019 07:15,1,0.8,5,1.65,0,9.95,yellow,credit card,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
21-03-2019 07:46,21-03-2019 09:04,1,12.78,52,11.06,0,66.36,yellow,credit card,South Ozone Park,Little Italy/NoLiTa,Queens,Manhattan
14-03-2019 08:34,14-03-2019 08:36,1,0.3,3.5,0,0,6.8,yellow,cash,Yorkville East,Yorkville West,Manhattan,Manhattan
10-03-2019 17:46,10-03-2019 18:03,1,3.56,14,1.5,0,18.8,yellow,credit card,Union Sq,DUMBO/Vinegar Hill,Manhattan,Brooklyn
24-03-2019 23:38,24-03-2019 23:50,1,3.38,12.5,2.44,0,18.74,yellow,credit card,Murray Hill,Little Italy/NoLiTa,Manhattan,Manhattan
10-03-2019 03:17,10-03-2019 03:37,1,3.62,16,3.96,0,23.76,yellow,credit card,Alphabet City,Williamsburg (North Side),Manhattan,Brooklyn
02-03-2019 13:34,02-03-2019 13:43,1,1.6,8.5,2.35,0,14.15,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan
23-03-2019 12:06,23-03-2019 12:17,2,1.3,8.5,0,0,11.8,yellow,cash,Penn Station/Madison Sq West,Clinton East,Manhattan,Manhattan
14-03-2019 22:01,14-03-2019 22:10,1,1.28,7.5,2.26,0,13.56,yellow,credit card,Central Park,Central Park,Manhattan,Manhattan
29-03-2019 15:23,29-03-2019 15:39,1,1.88,11.5,4.44,0,19.24,yellow,credit card,Greenwich Village South,Penn Station/Madison Sq West,Manhattan,Manhattan
28-03-2019 18:18,28-03-2019 18:41,2,3.1,16.5,4.16,0,24.96,yellow,credit card,Union Sq,Battery Park City,Manhattan,Manhattan
31-03-2019 05:00,31-03-2019 05:13,1,2.62,11,2,0,16.8,yellow,credit card,East Chelsea,East Village,Manhattan,Manhattan
09-03-2019 12:14,09-03-2019 12:19,1,0.91,6,1.86,0,11.16,yellow,credit card,Lincoln Square East,Upper West Side South,Manhattan,Manhattan
11-03-2019 08:53,11-03-2019 09:13,1,1.2,13,4.05,0,20.35,yellow,credit card,West Chelsea/Hudson Yards,Union Sq,Manhattan,Manhattan
19-03-2019 15:23,19-03-2019 16:01,2,11.8,38.5,0,0,39.3,yellow,cash,JFK Airport,East New York,Queens,Brooklyn
16-03-2019 18:34,16-03-2019 19:10,1,17.17,52,11.06,0,66.36,yellow,credit card,Sutton Place/Turtle Bay North,JFK Airport,Manhattan,Queens
23-03-2019 22:18,23-03-2019 22:23,2,1.19,6,1.96,0,11.76,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
24-03-2019 03:26,24-03-2019 03:35,1,1.12,7.5,2.26,0,13.56,yellow,credit card,East Chelsea,Greenwich Village South,Manhattan,Manhattan
22-03-2019 19:09,22-03-2019 19:22,1,3.34,13,0,0,17.3,yellow,cash,Midtown East,Sunnyside,Manhattan,Queens
05-03-2019 08:50,05-03-2019 09:15,1,3.1,17.5,3.12,0,23.92,yellow,credit card,Upper West Side North,Sutton Place/Turtle Bay North,Manhattan,Manhattan
24-03-2019 12:12,24-03-2019 12:27,1,1.55,10.5,0,0,13.8,yellow,cash,UN/Turtle Bay South,Central Park,Manhattan,Manhattan
21-03-2019 23:03,21-03-2019 23:11,1,2.08,9,2.56,0,15.36,yellow,credit card,Battery Park City,West Village,Manhattan,Manhattan
23-03-2019 16:34,23-03-2019 17:07,3,3.45,20.5,0,0,23.8,yellow,cash,Little Italy/NoLiTa,Times Sq/Theatre District,Manhattan,Manhattan
16-03-2019 09:12,16-03-2019 09:31,1,8.83,26.5,7.11,5.76,42.67,yellow,credit card,LaGuardia Airport,Midtown South,Queens,Manhattan
11-03-2019 07:47,11-03-2019 07:54,1,1,6.5,1.96,0,11.76,yellow,credit card,Lenox Hill West,Midtown East,Manhattan,Manhattan
21-03-2019 20:07,21-03-2019 20:13,1,0.8,5.5,2.79,0,12.09,yellow,credit card,Central Park,Lincoln Square West,Manhattan,Manhattan
18-03-2019 16:36,18-03-2019 16:40,1,0.98,5,0,0,9.3,yellow,cash,Lincoln Square West,Upper West Side South,Manhattan,Manhattan
27-03-2019 12:21,27-03-2019 12:41,5,5.73,20,5.82,0,29.12,yellow,credit card,Financial District South,Midtown South,Manhattan,Manhattan
12-03-2019 14:40,12-03-2019 14:51,1,2.4,11,3.55,0,17.85,yellow,credit card,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
29-03-2019 10:08,29-03-2019 10:19,1,1.45,9,0,0,12.3,yellow,credit card,Stuy Town/Peter Cooper Village,Greenwich Village South,Manhattan,Manhattan
27-03-2019 22:36,27-03-2019 22:41,1,0.68,5,1.76,0,10.56,yellow,credit card,Midtown East,Midtown East,Manhattan,Manhattan
26-03-2019 09:37,26-03-2019 09:59,5,3.44,15.5,1,0,19.8,yellow,credit card,Yorkville West,Midtown Center,Manhattan,Manhattan
18-03-2019 21:02,18-03-2019 21:15,5,2.94,12,3.16,0,18.96,yellow,credit card,Lower East Side,Williamsburg (North Side),Manhattan,Brooklyn
22-03-2019 21:43,22-03-2019 21:57,2,3.24,13,2,0,18.8,yellow,credit card,Midtown South,Yorkville West,Manhattan,Manhattan
28-03-2019 01:17,28-03-2019 01:27,1,4.29,14,0,0,17.8,yellow,cash,Upper East Side South,Mott Haven/Port Morris,Manhattan,Bronx
10-03-2019 14:05,10-03-2019 14:20,1,2.2,11.5,2.96,0,17.76,yellow,credit card,Chinatown,West Village,Manhattan,Manhattan
12-03-2019 23:24,12-03-2019 23:27,1,0.54,4,0,0,7.8,yellow,cash,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan
20-03-2019 18:07,20-03-2019 18:18,3,0.8,8,0,0,12.3,yellow,cash,Garment District,East Chelsea,Manhattan,Manhattan
04-03-2019 18:55,04-03-2019 19:08,3,2.13,10.5,0,0,14.25,yellow,credit card,Sunnyside,Astoria,Queens,Queens
12-03-2019 08:05,12-03-2019 08:12,6,1.07,6.5,1.46,0,8.76,yellow,credit card,Bloomingdale,Upper West Side North,Manhattan,Manhattan
30-03-2019 11:30,30-03-2019 11:58,1,9.38,28.5,7.51,5.76,45.07,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan
23-03-2019 09:40,23-03-2019 09:47,1,1,6.5,0,0,7.3,yellow,cash,Sunnyside,Sunnyside,Queens,Queens
16-03-2019 12:45,16-03-2019 12:55,1,1.2,8.5,2.36,0,14.16,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
06-03-2019 09:23,06-03-2019 09:38,1,2.15,12,3.06,0,18.36,yellow,credit card,Midtown East,Clinton West,Manhattan,Manhattan
13-03-2019 19:47,13-03-2019 20:06,2,3.9,16.5,4.16,0,24.96,yellow,credit card,Morningside Heights,Midtown Center,Manhattan,Manhattan
10-03-2019 21:04,10-03-2019 21:11,0,1.2,7,2.15,0,12.95,yellow,credit card,Clinton East,Lincoln Square West,Manhattan,Manhattan
26-03-2019 18:09,26-03-2019 18:26,1,3.8,15,5.01,5.76,30.07,yellow,credit card,TriBeCa/Civic Center,Carroll Gardens,Manhattan,Brooklyn
14-03-2019 11:37,14-03-2019 11:51,1,2.11,11,3.58,0,17.88,yellow,credit card,Manhattan Valley,Lincoln Square West,Manhattan,Manhattan
11-03-2019 14:51,11-03-2019 15:08,6,1.74,11.5,2.96,0,17.76,yellow,credit card,Central Park,Clinton East,Manhattan,Manhattan
24-03-2019 20:23,24-03-2019 20:46,1,8.8,27,4,5.76,40.56,yellow,credit card,LaGuardia Airport,Upper East Side South,Queens,Manhattan
22-03-2019 19:57,22-03-2019 20:04,1,1.31,7,0,0,11.3,yellow,cash,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
07-03-2019 17:43,07-03-2019 18:16,2,4.8,21.5,5.16,0,30.96,yellow,credit card,Midtown Center,Astoria,Manhattan,Queens
02-03-2019 15:08,02-03-2019 15:16,1,1.2,7,0,0,10.3,yellow,cash,Upper East Side South,Lenox Hill East,Manhattan,Manhattan
21-03-2019 08:22,21-03-2019 09:01,1,3.93,24.5,5.56,0,33.36,yellow,credit card,Upper West Side South,Gramercy,Manhattan,Manhattan
20-03-2019 20:12,20-03-2019 20:22,1,1.82,8.5,0,0,12.3,yellow,cash,Midtown South,West Village,Manhattan,Manhattan
23-03-2019 19:18,23-03-2019 19:30,1,1.7,9.5,2.55,0,15.35,yellow,credit card,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
09-03-2019 14:20,09-03-2019 14:49,1,4.33,20.5,4.76,0,28.56,yellow,credit card,Lincoln Square East,Little Italy/NoLiTa,Manhattan,Manhattan
06-03-2019 09:16,06-03-2019 09:39,1,1.9,14.5,3.55,0,21.35,yellow,credit card,Times Sq/Theatre District,Union Sq,Manhattan,Manhattan
10-03-2019 10:01,10-03-2019 10:09,1,1.32,8,2.26,0,13.56,yellow,credit card,Times Sq/Theatre District,Lincoln Square East,Manhattan,Manhattan
31-03-2019 15:22,31-03-2019 15:27,1,0.42,5,1.66,0,9.96,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
26-03-2019 13:49,26-03-2019 13:56,1,1.03,6.5,1.96,0,11.76,yellow,credit card,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
06-03-2019 08:00,06-03-2019 08:21,2,1.92,13.5,2.86,0,17.16,yellow,credit card,Central Harlem,East Harlem South,Manhattan,Manhattan
08-03-2019 11:45,08-03-2019 12:06,5,2.51,14.5,0,0,17.8,yellow,cash,Midtown East,East Chelsea,Manhattan,Manhattan
13-03-2019 09:56,13-03-2019 10:49,1,17.1,52,0,0,55.3,yellow,cash,Midtown Center,JFK Airport,Manhattan,Queens
16-03-2019 19:42,16-03-2019 19:57,1,1.71,11,0,0,14.3,yellow,credit card,Midtown South,Clinton East,Manhattan,Manhattan
23-03-2019 19:18,23-03-2019 19:24,1,1.02,6.5,3,0,12.8,yellow,credit card,Upper West Side North,Upper West Side South,Manhattan,Manhattan
14-03-2019 12:35,14-03-2019 12:41,0,0.8,6,1.85,0,11.15,yellow,credit card,Little Italy/NoLiTa,West Village,Manhattan,Manhattan
16-03-2019 10:06,16-03-2019 10:23,2,2.3,12.5,3.16,0,18.96,yellow,credit card,UN/Turtle Bay South,Flatiron,Manhattan,Manhattan
25-03-2019 12:25,25-03-2019 12:40,1,2.86,12.5,3.16,0,18.96,yellow,credit card,Upper West Side South,West Chelsea/Hudson Yards,Manhattan,Manhattan
02-03-2019 14:46,02-03-2019 14:58,1,1.3,9,2.45,0,14.75,yellow,credit card,Central Park,Upper West Side South,Manhattan,Manhattan
06-03-2019 17:22,06-03-2019 17:47,1,3,17,2.5,0,23.8,yellow,credit card,Lincoln Square West,Union Sq,Manhattan,Manhattan
11-03-2019 17:37,11-03-2019 17:51,1,2.83,12,0,0,16.3,yellow,cash,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
27-03-2019 20:15,27-03-2019 20:25,2,1.4,8,0,0,9.3,yellow,cash,Fort Greene,Prospect Heights,Brooklyn,Brooklyn
02-03-2019 09:51,02-03-2019 09:52,1,0.51,3.5,1.36,0,8.16,yellow,credit card,Lenox Hill East,Lenox Hill West,Manhattan,Manhattan
09-03-2019 19:11,09-03-2019 19:23,1,1.25,8.5,1,0,12.8,yellow,credit card,Greenwich Village North,Kips Bay,Manhattan,Manhattan
08-03-2019 23:31,08-03-2019 23:54,1,2.34,15.5,0,0,19.3,yellow,credit card,Flatiron,Lower East Side,Manhattan,Manhattan
20-03-2019 00:47,20-03-2019 00:57,1,2.18,10,2.82,0,14.12,yellow,credit card,Hamilton Heights,Bloomingdale,Manhattan,Manhattan
22-03-2019 14:58,22-03-2019 15:32,1,7.31,27,0,5.76,36.06,yellow,cash,Penn Station/Madison Sq West,Boerum Hill,Manhattan,Brooklyn
29-03-2019 07:13,29-03-2019 07:20,5,0.95,6.5,1.96,0,11.76,yellow,credit card,Midtown Center,Lenox Hill West,Manhattan,Manhattan
15-03-2019 07:09,15-03-2019 07:19,1,1.57,8.5,2.36,0,14.16,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan
26-03-2019 20:41,26-03-2019 20:47,5,1.28,6.5,2.06,0,12.36,yellow,credit card,Flatiron,Garment District,Manhattan,Manhattan
20-03-2019 09:38,20-03-2019 09:53,2,2,11,2.85,0,17.15,yellow,credit card,Little Italy/NoLiTa,Midtown South,Manhattan,Manhattan
17-03-2019 09:35,17-03-2019 09:38,1,0.65,4.5,1.56,0,9.36,yellow,credit card,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan
10-03-2019 00:18,10-03-2019 00:26,1,1.4,7,0,0,8.3,yellow,cash,Ridgewood,Bushwick North,Queens,Brooklyn
24-03-2019 19:53,24-03-2019 20:00,1,1.74,7.5,2.16,0,12.96,yellow,credit card,Upper East Side North,Upper West Side North,Manhattan,Manhattan
22-03-2019 13:26,22-03-2019 13:41,1,1.6,10,2.65,0,15.95,yellow,credit card,Times Sq/Theatre District,Kips Bay,Manhattan,Manhattan
11-03-2019 09:44,11-03-2019 10:19,0,9.1,31.5,8.1,5.76,48.66,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan
16-03-2019 11:01,16-03-2019 11:07,1,1.11,6.5,2.94,0,12.74,yellow,credit card,Upper West Side South,Clinton East,Manhattan,Manhattan
28-03-2019 22:46,28-03-2019 23:36,1,10,38,0,0,41.8,yellow,cash,TriBeCa/Civic Center,Crown Heights South,Manhattan,Brooklyn
19-03-2019 20:01,19-03-2019 20:08,1,1.47,7.5,0,0,11.3,yellow,credit card,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
28-03-2019 19:53,28-03-2019 20:04,6,2.39,10.5,2.96,0,17.76,yellow,credit card,Midtown Center,Long Island City/Hunters Point,Manhattan,Queens
11-03-2019 08:29,11-03-2019 08:46,1,1.7,11.5,0,0,14.8,yellow,cash,Upper West Side South,Upper East Side North,Manhattan,Manhattan
28-03-2019 16:03,28-03-2019 16:31,1,2.11,17.5,2,0,23.8,yellow,credit card,Union Sq,Upper East Side South,Manhattan,Manhattan
10-03-2019 16:24,10-03-2019 16:27,3,0.8,5,1.65,0,9.95,yellow,credit card,Hudson Sq,Flatiron,Manhattan,Manhattan
22-03-2019 20:04,22-03-2019 20:08,1,0.33,4,0.8,0,8.6,yellow,credit card,Times Sq/Theatre District,Times Sq/Theatre District,Manhattan,Manhattan
11-03-2019 11:42,11-03-2019 11:57,1,1.6,10.5,0,0,13.8,yellow,cash,Midtown Center,Lenox Hill West,Manhattan,Manhattan
22-03-2019 06:24,22-03-2019 06:24,1,0,72,0,0,72,yellow,,East New York,,Brooklyn,
13-03-2019 17:22,13-03-2019 17:34,1,3.1,12,0,0,16.3,yellow,cash,Upper West Side South,East Harlem North,Manhattan,Manhattan
29-03-2019 10:27,29-03-2019 10:51,1,2.1,16,3.85,0,23.15,yellow,credit card,Midtown East,Upper East Side North,Manhattan,Manhattan
14-03-2019 15:11,14-03-2019 15:33,1,2,14.5,3.55,0,21.35,yellow,credit card,Midtown North,Kips Bay,Manhattan,Manhattan
20-03-2019 23:35,20-03-2019 23:53,1,2.87,13.5,3.46,0,20.76,yellow,credit card,West Village,Flatiron,Manhattan,Manhattan
03-03-2019 22:07,03-03-2019 22:43,1,8.3,29.5,6.65,0,39.95,yellow,credit card,East Chelsea,Prospect-Lefferts Gardens,Manhattan,Brooklyn
03-03-2019 15:17,03-03-2019 15:38,2,8.49,26,7.32,0,36.62,yellow,credit card,Meatpacking/West Village West,Sutton Place/Turtle Bay North,Manhattan,Manhattan
12-03-2019 18:47,12-03-2019 18:53,2,0.94,6,2.06,0,12.36,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
12-03-2019 15:02,12-03-2019 15:45,1,9.85,36,5,5.76,50.06,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens
08-03-2019 23:19,08-03-2019 23:23,1,0.6,5,0,0,8.8,yellow,cash,Murray Hill,Midtown East,Manhattan,Manhattan
20-03-2019 13:26,20-03-2019 13:40,1,0.9,9.5,2.56,0,15.36,yellow,credit card,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
12-03-2019 14:34,12-03-2019 14:39,1,0.97,6,2.32,0,11.62,yellow,credit card,Upper West Side South,Upper West Side North,Manhattan,Manhattan
10-03-2019 07:50,10-03-2019 08:19,2,21.27,56,5,0,61.8,yellow,credit card,JFK Airport,Sunset Park West,Queens,Brooklyn
13-03-2019 07:29,13-03-2019 07:34,1,1.14,6,1.86,0,11.16,yellow,credit card,Upper East Side North,Upper West Side South,Manhattan,Manhattan
17-03-2019 04:22,17-03-2019 04:44,2,4.3,17.5,0,0,21.3,yellow,,Lower East Side,Bushwick South,Manhattan,Brooklyn
12-03-2019 09:26,12-03-2019 09:51,1,1.8,15,2,0,20.3,yellow,credit card,Midtown East,East Chelsea,Manhattan,Manhattan
08-03-2019 03:19,08-03-2019 03:26,2,2,8.5,1,0,13.3,yellow,credit card,West Chelsea/Hudson Yards,Clinton West,Manhattan,Manhattan
17-03-2019 11:49,17-03-2019 11:57,1,0.16,6,0,0,9.3,yellow,cash,Murray Hill,Murray Hill,Manhattan,Manhattan
20-03-2019 17:28,20-03-2019 17:36,1,0.8,6.5,2.15,0,12.95,yellow,credit card,Times Sq/Theatre District,Midtown North,Manhattan,Manhattan
22-03-2019 07:29,22-03-2019 07:41,1,1.6,9.5,0,0,12.8,yellow,cash,Lenox Hill East,Lincoln Square East,Manhattan,Manhattan
07-03-2019 19:34,07-03-2019 19:54,4,3.58,15,3.86,0,23.16,yellow,credit card,Meatpacking/West Village West,Midtown North,Manhattan,Manhattan
27-03-2019 05:29,27-03-2019 06:09,1,19.43,52,12.21,5.76,73.27,yellow,credit card,JFK Airport,Hudson Sq,Queens,Manhattan
27-03-2019 17:52,27-03-2019 18:08,1,3.46,14,0,0,18.3,yellow,cash,East Chelsea,Upper East Side North,Manhattan,Manhattan
23-03-2019 19:11,23-03-2019 19:23,1,4.68,15.5,0,0,16.3,yellow,cash,JFK Airport,South Jamaica,Queens,Queens
22-03-2019 19:16,22-03-2019 19:24,1,1.8,8.5,3.2,0,16,yellow,credit card,Midtown Center,Upper East Side North,Manhattan,Manhattan
08-03-2019 23:03,08-03-2019 23:15,1,1.74,9,2.56,0,15.36,yellow,credit card,Lower East Side,Battery Park City,Manhattan,Manhattan
27-03-2019 11:59,27-03-2019 12:22,1,2.7,16,4.8,0,24.1,yellow,credit card,Clinton East,Upper East Side North,Manhattan,Manhattan
19-03-2019 16:48,19-03-2019 17:01,1,2.07,10.5,2.46,0,14.76,yellow,credit card,Washington Heights South,Manhattanville,Manhattan,Manhattan
23-03-2019 14:41,23-03-2019 15:05,1,3.51,17.5,0,0,20.8,yellow,cash,Meatpacking/West Village West,West Chelsea/Hudson Yards,Manhattan,Manhattan
17-03-2019 17:46,17-03-2019 17:54,1,1.58,7.5,0,0,10.8,yellow,cash,Midtown South,Midtown East,Manhattan,Manhattan
29-03-2019 16:53,29-03-2019 16:58,1,0.6,5,0,0,9.3,yellow,cash,East Village,Lower East Side,Manhattan,Manhattan
01-03-2019 20:47,01-03-2019 20:51,1,0.92,5,0,0,8.8,yellow,credit card,Central Park,Central Park,Manhattan,Manhattan
27-03-2019 08:18,27-03-2019 08:33,5,3.54,14.5,4.45,0,22.25,yellow,credit card,East Village,Financial District South,Manhattan,Manhattan
21-03-2019 21:17,21-03-2019 21:50,1,6.7,25.5,6,0,35.3,yellow,credit card,TriBeCa/Civic Center,Prospect-Lefferts Gardens,Manhattan,Brooklyn
19-03-2019 14:01,19-03-2019 14:23,1,4.43,18,0,0,18.8,yellow,credit card,Midtown Center,Sunnyside,Manhattan,Queens
22-03-2019 12:09,22-03-2019 12:22,1,2,11,2.15,0,16.45,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
